s,cname,name,c_id
113363891m,United Kingdom,Isle Martin Micro Museum,http://example.com/country/id/145
113363892m,United Kingdom,Shipwreck Museum,http://example.com/country/id/145
113363893m,United Kingdom,Military Vehicles Museum,http://example.com/country/id/145
113363894m,United Kingdom,Militaria Museum,http://example.com/country/id/145
113363896m,United Kingdom,The Shipwreck Centre,http://example.com/country/id/145
113363898m,United Kingdom,Luxulyan Museum And Heritage Centre,http://example.com/country/id/145
113363900m,United Kingdom,New Quay Heritage Centre,http://example.com/country/id/145
113363901m,United Kingdom,Camborne School Of Mines Geological Museum And Art Gallery,http://example.com/country/id/145
113363902m,United Kingdom,The Robertson Museum,http://example.com/country/id/145
113363903m,United Kingdom,Governors House Museum,http://example.com/country/id/145
113363907m,United Kingdom,"Weaver's Cottage, Kilbarchan",http://example.com/country/id/145
113363909m,United Kingdom,North Ayrshire Heritage Centre,http://example.com/country/id/145
113363910m,United Kingdom,Wellwood Burns Centre and Museum,http://example.com/country/id/145
113363911m,United Kingdom,Auchindrain Museum,http://example.com/country/id/145
113363912m,United Kingdom,Lochgoin Covenanters Museum,http://example.com/country/id/145
113363913m,United Kingdom,Glencoe and North Lorn Folk Museum,http://example.com/country/id/145
113363914m,United Kingdom,Largs Museum,http://example.com/country/id/145
113363916m,United Kingdom,Mevagissey Museum,http://example.com/country/id/145
113363917m,United Kingdom,Moseley Industrial Narrow Gauge Tramway And Toy Museum,http://example.com/country/id/145
113363918m,United Kingdom,Cornish Heritage Museum,http://example.com/country/id/145
113363919m,United Kingdom,Poldark Mine & Open Air Museum,http://example.com/country/id/145
113363920m,United Kingdom,Noahs Ark Museum,http://example.com/country/id/145
113363921m,United Kingdom,Padstow Museum,http://example.com/country/id/145
113363922m,United Kingdom,Creetown Gem Rock Museum,http://example.com/country/id/145
113363923m,United Kingdom,Lostwithiel Museum,http://example.com/country/id/145
113363924m,United Kingdom,Shire Horse Farm and Carriage Museum,http://example.com/country/id/145
113363925m,United Kingdom,The Castle Heritage Centre Bude,http://example.com/country/id/145
113363927m,United Kingdom,Fowey Museum,http://example.com/country/id/145
113363928m,United Kingdom,Dingwall Museum,http://example.com/country/id/145
113363929m,United Kingdom,Parc Glynllifon,http://example.com/country/id/145
113363930m,United Kingdom,Maclaurin Art Gallery,http://example.com/country/id/145
113363931m,United Kingdom,Museum Of The Cumbraes,http://example.com/country/id/145
