country_name,name,c_id,s
Argentina,Historical Archive Museum Hugo H. Diez,http://example.com/country/id/414,6033119m
Argentina,Historical Archive and Museum of the Buenos Aires Penitentiary Service,http://example.com/country/id/414,84503997m
Argentina,Historical Communal and Jewish Colonization Museum Rabbi Aarón Halevi Goldman,http://example.com/country/id/414,84527097m
Argentina,Historical Cultural Museum and Arts Center Narciso Sosa Morales,http://example.com/country/id/414,84514859m
Argentina,Historical House of Independence Museum,http://example.com/country/id/414,84534238m
Argentina,Historical Museum House of Culture,http://example.com/country/id/414,84525727m
Argentina,Historical Museum Lieutenant General Luis María Campos,http://example.com/country/id/414,84526631m
Argentina,Historical Museum of Corrientes Tte. of Gdor. Manuel Cabral De Melo and Alpoín,http://example.com/country/id/414,84522194m
Argentina,Historical Museum of Entre Ríos Martiniano Leguizamón,http://example.com/country/id/414,84522275m
Argentina,Historical Museum of Helvecia Doña Eulogia María Encina De Antille,http://example.com/country/id/414,84526976m
Argentina,Historical Museum of Saint Martin,http://example.com/country/id/414,84514892m
Argentina,Historical Museum of the Campaigns to the Desert Gral. Conrado E. Villegas,http://example.com/country/id/414,84506129m
Argentina,Historical Museum of the Colonia San Carlos,http://example.com/country/id/414,84526857m
Argentina,Historical Museum of the Honorable Chamber of Deputies,http://example.com/country/id/414,84513452m
Argentina,Historical Museum of the National University of Córdoba,http://example.com/country/id/414,84518219m
Argentina,Historical Museum of the Police of the Province of Chubut,http://example.com/country/id/414,84510530m
