cname,s,country_id,name
Argentina,6091306b,http://example.com/country/id/414,Victorino de la Plaza Bridge
Argentina,6151576m,http://example.com/country/id/414,Buenos Aires Historic Tramway
Argentina,61793648m,http://example.com/country/id/414,Ernesto Bachmann Paleontological Museum
Argentina,61998841m,http://example.com/country/id/414,Museo Rural Comunitario Barranca Larga
Argentina,61998851m,http://example.com/country/id/414,"Automobile Museum and General Branches ""Rau Collection"""
Argentina,6298930m,http://example.com/country/id/414,Juan B. Castagnino Fine Arts Museum
Argentina,63442309m,http://example.com/country/id/414,Commission of History and Museum of Dentistry of the Argentine Dental Association
Argentina,63442344m,http://example.com/country/id/414,Museum of the History of Surgery Vicente Aníbal Risolía
Argentina,63588925m,http://example.com/country/id/414,Forensic Museum of National Justice Dr. Juan Bautista Bafico
Argentina,63589229m,http://example.com/country/id/414,Kosice museum
Argentina,63589426m,http://example.com/country/id/414,Museum of the De La Salle College of Natural Sciences and Man
Argentina,63615008m,http://example.com/country/id/414,Museum of the Old Corrales of Parque Patricios
Argentina,63907036m,http://example.com/country/id/414,"Art Collection ""Amalia Lacroze de Fortabat"""
Argentina,64658366m,http://example.com/country/id/414,Historical and Numismatic Museum of the Central Bank of the Argentine Republic Dr. José Evaristo Uriburu
Argentina,64764216m,http://example.com/country/id/414,World Tango Museum
Argentina,64764217m,http://example.com/country/id/414,Evita Museum - Eva Perón National Institute of Historical Research
Argentina,64764388m,http://example.com/country/id/414,Jewish Museum of Buenos Aires Dr. Salvador Kibrick
Argentina,64764396m,http://example.com/country/id/414,Heritage Museum of the Palacio de las Aguas Corrientes
Argentina,64919061m,http://example.com/country/id/414,costume history museum
Argentina,65389987m,http://example.com/country/id/414,Museum of Pacemakers and Precursors of Modern Medicine
Argentina,65390096m,http://example.com/country/id/414,"Museum of Experimental Psychology in Argentina ""Dr. Horacio G. Piñero"""
Argentina,65390781m,http://example.com/country/id/414,Itinerant Museum of Contemporary Art of Mercosur
